sID	High_Strength_Component	Target	Observation_Order	1_1_u_1	1_u_u_1	diag_prob_rating	justification_1_1_u_1	justification_1_u_u_1	Attention_Confirmation	Age	Sex (1 = male, 2 = female, 3 = other, 4 = prefer not to say)	Technical_issues	Duration (sek)
216	Root	West	observed_first	7	6	10	It is likely that the easten pony rider got to the intermediate stop, but as it is unknown, there is more of a chance the western castle caused the alarm.	The chance for each pony to have caused the alarm is equal, as it is unknown if they got to their intermediate stops and the chances to get attaked are the same.	1	18	1	-99	1331
217	Root	West	observed_first	6	6	6	I dont have the information for the Eastern Castle as a cloud is covering the station  Im making an educated guess on the information I can see on the picture  I have to say 50/50 chance	As before clouds obscuring the stations so with the evidence I can see I can only pick 50/50	1	34	1	no problems evrything worked fine I hope my answers help with your research	820
7	Root	West	unobserved_first	7	6	7	I know the rider made it to the intermediate station for the West, but not for the East	Infomation is as clear for the East and West sides, and all situations are identical.	1	29	1	-99	463
10	Root	West	unobserved_first	7	6	10	Lack of information on the eastern side means I know at least the western pony got half way...	Equal information on both sides. Therefore 50/50 chance.	1	30	2	none	713
26	Root	West	unobserved_first	9	6	10	West pony arrived at intermediary, and a fresh pony was sent out.  Cannot be 100% sure that this pony arrived as barons may have killed him. East pony may have, but since I don't know if it arrived at intermediate point it's a lower probability	Both sent out a pony, both intermediate positions are obscured, and the alarm was triggered. there is an equal chance that west/east castle pony rang the alarm	1	31	1	-99	974
46	Root	West	unobserved_first	8	6	10	We can see that the west castle pony rider reached the intermediate station but don't know if the east castle pony rider did	There is no clear outcome - there is a 50/50 chance	1	47	2	-99	1495
51	Root	West	unobserved_first	6	6	3	I cannot see the Easten castles full view as it is blocked by clouds. Therefore I cannot guarantee that there isn't a pony under the cloud - Which would mean both castles have a pony at the half way pony shelter.	Both castles have the same thing happening in both areas - They are ponies at both castles being sent out. I have a view obstructed by clouds in both areas.	1	22	2	-99	914
64	Root	West	unobserved_first	7	6	10	We don't know if the first rider made it to the intermediate station or not for the eastern castle, but it's highly likely that they did. So we can't know for sure who it was	Both castles sent a rider to the intermediate station, but both intermediate stations are blocked by clouds so we don't know which one made it to the castle.	1	24	2	-99	537
78	Root	West	unobserved_first	11	6	9	The rider was sent to the pony station from the west castle, therefore it was likely they caused the alarm to toll	There is no strong reasoning either way that if it was or wasn't caused by the West Castle	1	29	2	-99	1234
82	Root	West	unobserved_first	7	6	6	Both castles sent out signals. Technically there is a high chance that both pony riders made it to the intermediate station i.e. 50:50. However it is difficult to be certain with the clouds on the eastern side, therefore I chose one option higher as there may be a higher chance for the western castle.	Both castles sent out an emergency signal, with both intermediate station being covered by the clouds therefore 50:50 chance.	1	30	2	-99	896
103	Root	West	unobserved_first	6	6	10	both castles sent out ponies, while cloud obscures what happened on the eastern route, it doesn't necessarily means anything happened to those riders.	Both castles sent out ponies, and it is unclear in both instances how far the emergency message travelled, so either could have caused the alarm	1	47	2	-99	706
111	Root	West	unobserved_first	6	6	3	Unable to deduce any difference.	No difference between the two journeys.	1	54	1	-99	761
118	Root	West	unobserved_first	8	6	10	Nothing to show Eastern one got to the inter. pony stable.	NO info to show either way what happened. Clouds on both	1	33	1	-99	935
127	Root	West	unobserved_first	9	6	10	We know that western castle got the call at the station but we are unsure if Eastern got to the station or not because of the clouds	They both sent out an emergency call but when the pony's reached the first station its unsure if they made it or not but one of them did, or both.	1	21	1	Had a little bit of trouble with answering the prep questions.	2740
162	Root	West	unobserved_first	6	6	10	While the cloud is obstructing the view, as the odds of the eastern rider being killed are 10% before the obstructed waypoint, the probability is not high enough to move to the next point on the scale.	Equal probability due to equal information available for each castle.	1	34	2	-99	570
170	Root	West	unobserved_first	5	6	5	Looks like west has more chance.	Both weat and east have the same conditions.	1	26	2	-99	1925
177	Root	West	unobserved_first	7	6	2	Slight odds in its favor because of cloud	because its 50/50	1	37	1	-99	380
182	Root	West	unobserved_first	9	6	10	A rider was sent out from both castles, however I can see clearly that the rider reached the intermediate station for Western Castle.  There is a cloud obstructing the view for Eastern so there is uncertainty on whether their rider reached.  So based on this, Western is more likely.	I can see that both Castles sent out riders and both have a high percentage of reaching the intermediate stations.  But the obstructions by clouds present uncertainty.  Both castles experienced the same situation if we dont know what happened.	1	23	2	-99	978
183	Root	West	unobserved_first	9	6	10	The chance it was caused by the Eastern Castle is unknown but the chance for the Western Castle is good.	Both castles sent out a pony rider but clouds are obscuring both of the midpoints. Equal information is available for both castles.	1	28	2	-99	713
211	Root	West	unobserved_first	2	6	2	The Western Pony Station sent a pony rider to the King's Palace. The Western pony rider most likely activated the alarm.	A cloud obstructs the Western and Eastern portion of the map. It is equally probable that either pony rider activated the alarm.	1	18	1	"This study was entertaining; thank you so much!"	2151
214	Root	West	unobserved_first	3	4	9	I believe because their is 1 cloud so its unclear, no visibility to see. But because only a 10% on the attacks I would say the alarm was closer to not being caused by the castle.	I believe its 50:50 because their is 2 clouds so its unclear, no visibility to see. But because only a 10% on the attacks I would say the alarm was closer to not being caused by the castle.	1	25	1	Worked well	2424
228	Root	West	unobserved_first	6	6	1	Still 50:50 because although one is obscured by the cloud it doesn't mean that the rider didn't get through	both riders were sent out both were obscured by the clouds so we cannot tell which one triggered the alarm so it has to be 50:50	1	50	2	-99	782
1	Terminal	East	observed_first	11	6	2	We do not know whether the pony rider from the Western castle made it to the pony station, but we know that the pony rider from the Eastern castle did. There is a 90% chance that the next pony rider reaches the castle. There is a 90% change the first pony rider from the Western castle did not reach the pony station.	The odds are the same for both castles.	1	31	2	-99	608
11	Terminal	East	observed_first	10	6	6	There is no evidence that the pony rider from the west castle even reached the intermediate station, however it clearly shows the pony rider from the east castle has reached the intermediate station and a new pony rider has been sent to the castle. Since there is only 10% chance for that rider to be attacked, we can almost confirm that it is the eastern castle rider that triggered the alarm.	Pony riders have started from both castles but we do not know what happened later or who made it to the intermediate station. Hence there is a 50:50 chance	1	37	2	-99	1590
24	Terminal	East	observed_first	10	6	2	I can see that a pony has reached the eastern intermediate point, so it is likely. however, i can't be certain because a cloud covers the western intermediate point. there is a small chance that the western castle sent out a pony which also reached the western intermediate point.	There is equal chance that the Western and Eastern Castles caused the alarm as I can't tell whether or not the ponies made it to the intermediate points (because of cloud cover).	1	28	2	-99	895
31	Terminal	East	observed_first	6	6	6	the cloud shows we don't know if the riders went out for both castles. they have an equal probability of getting a rider through, just because we cant see it makes no difference to the probablity.	both castle have equal chances of a rider making it. not knowing about the intermediate stage makes no difference.	1	48	2	-99	888
38	Terminal	East	observed_first	9	6	9	The rider from the western castle only has a 10% chance of making it to the intermediary station, so it is very likely that the alarm was triggered by the eastern castle.	The information for both situations is the same, so it is a 50-50 chance	1	27	2	N/A	1235
66	Terminal	East	observed_first	6	6	2	Just because we are unable to see if the western castle horse made it to the intermediary station, doesn't man that it didn't happen, or was less likely to have happened.	We are unable to see anything past the horses leaving both of their respective castle stations. This means that they their messages are as likely as each other to have made it to the palace.	1	39	2	-99	1264
79	Terminal	East	observed_first	2	6	2	The pony rider was sent out by the intermediate station of the Eastern Castle, so they have a 90% of successfully making it to King's Palace. Because the cloud was obstructing the view, it can't be determined whether the pony rider from the Western Castle made it to the intermediate station, and it's more likely that they didn't because of the robbers.	It can't be determined which castle the alarm was from, since the chances of being attacked by robbers are equal, as are the chances of successfully making it to the King's Palace from the intermediate stations. Since there are clouds obstructing both paths, it is equally likely that the alarm is from either castle.	1	20	2	-99	655
92	Terminal	East	observed_first	10	6	3	The ponies have been sent out at intermediate point	cannot see intermediate point	1	21	2	-99	1349
99	Terminal	East	observed_first	7	6	5	We know the Eastern rider made it through to the middle station, but the Western rider may have as well.	It is unclear as the probabilities are even based on the informaiton.	1	25	1	-99	620
109	Terminal	East	observed_first	7	6	4	They both sent out a pony so I would say 50:50 but because I can't see what happened to the Western castle's pony (cloud) I would lean slightly towards the Eastern castle causing the alarm.	Because both castles sent out a pony and both have a cloud obscuring their progress so I would say 50:50 because the information I can see from both castles is exactly the same.	1	28	2	-99	926
119	Terminal	East	observed_first	6	6	2	Riders set out from both castles	Riders set out from both castles we do not know what happened after that	1	49	2	-99	541
132	Terminal	East	observed_first	10	2	2	There is a small possibility that the southern has made it through without being robbed. The eastern castle was very lucky	The probability is higher that they didn't make it thought rather than passing though 10%	1	31	1	-99	880
136	Terminal	East	observed_first	6	6	2	I am unable to see what happened at the midpoint station on the western route because a cloud is obstructing the view. Since they both sent out a pony, it could be either one of the castles that caused the alarm.	Both midpoint stations are blocked by clouds. It is completely random chance, 50% either way, since both western and eastern castles sent ponies.	1	27	2	None	499
145	Terminal	East	observed_first	10	6	2	The Eastern castle's pony made it to the intermediate station and it is likely from there that the new pony made it the to palace. I cannot see the Western side.	I can't see if anyone made it to an intermediate station.	1	27	2	-99	730
157	Terminal	East	observed_first	8	6	8	I believe that the alarm was caused by the eastern castle because a pony has been sent out from the station nearer the eastern side. However one could have come from the west side as a cloud is obscuring the view.	There is a completely even chance the alarm was caused by either castle as there is a cloud obscuring what happened at the both pony stations.	1	32	1	No technical issues occurred.	1499
160	Terminal	East	observed_first	6	6	2	Cloud obscures data from Western castle	Cloud obscures path from both castles	1	36	2	-99	456
171	Terminal	East	observed_first	6	6	6	cant see what happened as cloud covering	cloud covering both	1	29	2	-99	499
203	Terminal	East	observed_first	10	6	2	You cannot see if the the western castles pony made it to the next station. in my view, the chance of the western pony rider making it is very low so it is a chance that only the eastern made it	i put 50 50 because the alarm went off according to the kings palace. both areas are covered so there is an equal chance they made it in my view	1	26	2	none	1455
207	Terminal	East	observed_first	10	6	2	"There is only a 10% chance the West rider reached the relay station, where there is a 90% chance the East rider sounded the alarm. Thus it is very likely that the East rider triggered the alarm, though not guaranteed; East still has a 10% chance of dying and West may well have made it through."	There is not enough data to determine which rider(s) made it through.	1	32	1	-99	720
229	Terminal	East	observed_first	11	6	6	The Eastern Castle and it's intermediate pony place are clearly seen and show a full path to the castle regardless of the western castle's status.	Both intermediate stations are shrouded in clouds. With the alarm ringing, and a 0% chance of false alarms, it's 50/50 on which castle send the alarm.	1	33	1	-99	493
6	Terminal	East	unobserved_first	10	6	2	There is a 90% chance the western rider did not reach the intermediate station.	Both castles appear to have an equal chance of raising the alarm given the available information.	1	35	1	-99	583
21	Terminal	East	unobserved_first	9	6	2	we can clearly see that a rider left the intermediate station, so a rider had arrived from the eastern castle, but clouds obstruct the western station so we don't know if a rider arrived from the western castle.	riders were sent from both castles but then both intermediate stations were obscured by clouds so the alarm could have come from either	1	19	2	-99	591
65	Terminal	East	unobserved_first	10	6	6	The Eastern castle got there pony to the intermediate station, as only a 10% chance of not making it I am certain the alarm was caused by this castle	Both sides have cloud cover at roughly the same position, and the rest of the stats are the same so could be either castle	1	43	2	None all went well	789
85	Terminal	East	unobserved_first	10	6	4	the Eastern PR made it to the 2nd station and bar the 10% chance they didnt 90%	whether or not either pony rider made it to the station before the castle is unknown. however 1 of the pony riders had to have made it	1	26	2	-99	996
100	Terminal	East	unobserved_first	8	6	4	Because the icons show that the pony from the eastern castle made it to the next pony station and the alarm was set off	Because the Icons show that ponys were sent out from the eastern and western castle.	1	33	1	No technical issues, just had trouble answering the questions.	1719
101	Terminal	East	unobserved_first	8	6	6	I have chosen this because the western castle is covered so behind the cloud could be a not reached it could be either but more likely be yes.	It is 50:50 because you can not see wan is happening on either.	1	33	2	-99	1830
112	Terminal	East	unobserved_first	9	6	3	As you can see that the easterns pony rider made it to the intermediate station. Whereas with the western one this cannot be confirmed	Both secondary stations are blocked so we cannot see what happened. Further to this both routes have the same probability of success	1	25	2	-99	-1
115	Terminal	East	unobserved_first	2	6	9	It was most likely caused by the Western castle, because a cloud obscured the robbers from attacking the pony rider from that castle.	All the conditions are the same on both sides, so I can't say for sure which castle caused it.	1	37	2	-99	360
133	Terminal	East	unobserved_first	10	6	2	We know that the Eastern castle pony rider definitely reached the intermediate station	It is equally likely that either castle triggered the alarm	1	61	2	-99	541
140	Terminal	East	unobserved_first	8	11	5	I can see that the rider reached the intermediate station on the eastern route, whereas i cannot be certain it did on the western route as the cloud is in the way	I can see that the pony from the eastern castle had a high chance of not reaching the intermediate station, as did the western castle. I then saw that the rider from intermediate station (eastern castle route) had a high chance of reaching the palace, whereas the other rider had not got a high chance of reaching it.	1	27	2	-99	1143
141	Terminal	East	unobserved_first	10	6	2	Because the odds of making it to the first station are very low, it's unlikely that the Western Castle was successful. Since we know the Eastern Castle made it that far, the odds of successfully completing the trip were much higher.	The information on each side is exactly equal. I know that both castles sent out a pony and that at least one arrived, but know nothing about the intermediate station on either path.	1	28	1	-99	1264
152	Terminal	East	unobserved_first	10	6	2	east definitely got the message to the intermediate place whereas west is unlikely to have done so	both west and east have the same things happening	1	21	2	-99	394
159	Terminal	East	unobserved_first	6	6	3	Same as before	Both sent riders, both have equal chance of reaching the castle	1	22	1	-99	519
190	Terminal	East	unobserved_first	6	6	2	Unclear from image	Unclear from image	1	36	1	-99	1022
192	Terminal	East	unobserved_first	8	6	2	Because the horse made it to the pony sttaion, therefore it was more likely to reach the palace than the Western Castle	Because it seems both pathways had exactly the same conditions, therefore both the East and West Castle had an equal chance of ringing the bell	1	21	2	-99	830
193	Terminal	East	unobserved_first	10	6	3	You can see the pony rider from the eastern castle made it to the kings palace however the western castle's intermediate pony station is obscured so this rider could have made it to the castle  too	Both intermediate pony stations have been obscured so you cant tell which pony rider made it to the castle	1	18	2	-99	700
194	Terminal	East	unobserved_first	9	6	2	I can clearly see the first pony rider made it to the intermediate station, and they sent out a second pony rider who, most likely, made it to the castle. However, there is a 10% chance that rider didn't make it. I can't see whether or not the rider sent out by the Western castle ever made it to the intermediate station, so there's no way to determine if a second rider was deployed on to the castle, but there's a 90% chance he didn't. Thus, I chose that it was more likely - but not certain - to have been the Eastern Castle that triggered the alarm.	Both the Eastern and Western castles sent out pony riders, but I cannot see which was able to make it to the castle. It could have been either one, so I chose 50:50.	1	49	2	No issues at all! I enjoyed participating, thank you!	1849
195	Terminal	East	unobserved_first	9	6	10	i am fairly certain that it was the east castle as i can see that a pony rider the castle rider made it to the way station and the second leg of teh journey was dispatched, to the castle, with a reasonable assumption of him arriving safely to ring that bell, BUT i cannot be sure. the pony  from the western castle could have reached the way station and a second rider could have been dispatched and reached the king's palace, but i just don't know know. my view is obscured.	someone rang the bell, but since both stations are obscured by cloud, i cannot tell which one.	1	49	2	no	1159
224	Terminal	East	unobserved_first	9	6	6	I am guessing because the eastern pony had made it through. We do not know about the west pony because of the cloud	I do not really get this. Its the same for each side. 90%/90%, 10%, 10% pony, pony & cloud,cloud. How are you really supost to determine this?	1	45	1	no nothing went wrong	1894
225	Terminal	East	unobserved_first	11	6	2	There were no visibility issues on the eastern side, and a rider was successfully deployed from both castle and station.	Since the visibility was obscured by clouds for both castles, I think it is a 50:50 chance.	1	32	2	-99	810
22	Terminal	West	observed_first	10	6	3	cloud cover f east	cloud covered both	1	39	2	-99	981
30	Terminal	West	observed_first	9	6	2	Know a rider was dispatched from the fwd point for western but there is cloud coverage for eastern so they might also have Bernt someone	Info for both routes is the same so not clear of the variables involved	1	34	2	-99	762
