sID	Mechanisms	Observation_Order	1_1_u_1	1_u_u_1	diag_prob_rating	justification_1_1_u_1	justification_1_u_u_1	Attention_Confirmation	Age	Sex (1 = male, 2 = female, 3 = other, 4 = prefer not to say)	Technical_issues	Duration (sek)
189	Dependent	unobserved_first	6	6	11	WE know a signal went from the northern telegraph . However, both castles go via this telegraph. Therefore, even though we can see if any info went to the southern telegraph, the fact the northern one is signalling and both castles sent pigeons makes it equally likely.	As both towers have no information and both castles sent a carrier pigeon, it was equally likely that the west or the east made the signal	1	21	2	-99	491
192	Dependent	unobserved_first	7	7	11	we know that the telegraph station that the western castle's pigeon went to directly was able to tranmit an alarm call to the palace, and as there are less steps needed than from the Eastern castle, I think it is slightly more likely to have been this castle	there is no information from the telegraph stations, but as there is an extra step to get information from the Eastern castle, I think the message from the western castle is more likely to have got through	1	47	1	-99	1368
195	Dependent	unobserved_first	11	6	6	the west station received a signal but the other did not	Both stations received no information	1	20	1	-99	653
41	Independent	observed_first	11	6	6	the signal was successfully sent and relayed to the palace by the western castle	it could have been either castle, both had an emergency, unfortunately we dont know what happened at the telegraph towers	1	47	2	-99	615
47	Independent	observed_first	11	6	6	Western castle and station showing active	Both pigeons sent but neither station confirmed so could be either	1	58	1	-99	1716
65	Independent	observed_first	6	1	6	One has no information and the other does.	Neither has any information.	1	25	1	-99	881
73	Independent	observed_first	10	6	6	No information from Eastern castle intermediate tower, but a confirmed transmission from the West tower	Information about both castles' transmissions is exactly the same.	1	22	2	-99	571
81	Independent	observed_first	7	6	6	west definitely sent. East has no information	west has no information.. East has no information	1	34	1	-99	1613
88	Independent	observed_first	10	6	6	It's unlikely that both castles raised an alarm, but is possible that the Eastern one raised it first, as the status of the Eastern telegraph is unknown	Unable to tell which castle raised it, as neither telegraph status is known	1	29	1	-99	1323
100	Independent	observed_first	7	6	6	I think its more likely because I dont have information for the other castle, although Im not entirely sure...	Without any information, it could have been either castle.	1	24	1	None. Thanks	384
109	Independent	observed_first	11	1	1	western castle sent pigeon, received at station who tent telegram to palace to cause alarm to sound	the intermediate stations never received any info so didnt send a telegram	1	40	1	none	1246
136	Independent	observed_first	1	6	6	The intermediate post for the western castle sent a trigger to the kings castle	There is no information from either intermediate castle	1	28	2	N/A	421
143	Independent	observed_first	11	6	6	all messages recieved and sent on to palace	both show no information so a 50/50 on who it actually was	1	33	2	-99	648
151	Independent	observed_first	1	1	11	The alarm was triggered in the King's Palace	Because the alarm was triggered in the King's Palace	1	28	1	No issues	592
155	Independent	observed_first	9	6	6	The triggers at each point are showing - the pigeon from the Western Castle, the telegram from the Intermediary, and then the alarm at the Palace. The only issue I can't be certain on is whether the Eastern Intermediary also sent out an alarm and it was this that caused the trigger, as the Western telegram could have been lost in bad weather.	Both Eastern and Western Castles sent out carrier pigeons, however neither of the Intermediaries have any information recorded for that day, so it could have been either.	1	28	2	-99	524
162	Independent	observed_first	3	6	6	I see a pigeon was sent from eastern castle and the pigeons can only fly in one direction.	There are too many spots indicating  no information.  Bell could have been going off from earlier in the day.	1	27	1	-99	1963
165	Independent	observed_first	11	6	6	A telegraph was sent from their tower.	Both towers have no information	1	26	2	-99	970
169	Independent	observed_first	11	1	6	Because the nearest tower to the western castle triggered the alarm.	The nearest tower did not receive any signal.	1	33	2	-99	499
176	Independent	observed_first	11	6	6	the dove arrived at the tower and the tower sent the message	There is no information on the towers. cannot be determined	1	35	1	no	1390
179	Independent	observed_first	8	6	6	Both castles sent pigeons out but only the western castles one definitely made it to the tower.	both pigeons sent out, both towers have blank information though.	1	38	1	-99	685
182	Independent	observed_first	11	6	6	The pigeon sent signal is situated on the western castle	There's no information on what happened on that day.	1	27	2	None	2136
191	Independent	observed_first	11	6	6	The telegram from the intermediate station was sent to the palace	Both stations are blacked out and therefore we cannot know what happened	1	23	2	-99	458
194	Independent	observed_first	11	6	6	Because the Eastern castle's intermediate station didn't receive any information from that day.	Because no information is shown from either station so it could have been either of them	1	23	2	-99	602
198	Independent	observed_first	10	6	9	Because the western tower shows that the telegram was sent.	Because the towers show that no information was sent.	1	28	2	None.	1095
199	Independent	observed_first	11	6	6	There is zero per cent chance of a faulty alarm and we know the telegraph was sent.	We have no information for either castle so it could be either.	1	48	2	-99	435
46	Independent	unobserved_first	8	6	6	It could be either but the fact a signal was triggered in the west shows it might have been more successful	There is no information at either tower yet both sent pigeons	1	18	2	-99	588
63	Independent	unobserved_first	11	1	1	i can see the information was sent successfully by western castle.	there was no occurred.	1	34	1	none	1929
64	Independent	unobserved_first	9	6	6	It is certain that the pigeon from the western castle reached the tower, but it is also possible that the pigeon from the eastern castle set off the alarm so it's not certain that the alarm was caused by the western castle	Both castles sent out pigeons and there is no certain information about whether either intermediate tower received the pigeon, so there is an even chance that either castle caused the alarm.	1	25	1	-99	524
90	Independent	unobserved_first	9	6	6	Both pigeons were sent out by each castle however based on the information available, I know that the western castle was successfully able to send the telegram to the king's palace therefore indicating that the alarm was most likely caused by that castle however the eastern intermediate station could have also successfully sent the telegram before the western intermediate station but i can't be certain as there is not any available information from the eastern intermediate station to prove this.	Both pigeons from both castles were sent out but no further information at the intermediate stations is known therefore there is no way of knowing which station alarmed the king's palace.	1	28	1	-99	1299
103	Independent	unobserved_first	9	6	6	there was no information that the eastern castles carrier pigeon reached the tower and sent a message but we can see the western tower received the pigeon and sent a telegram	there is no information that either carrier pigeon sent a message to the towers but they both sent one so it could be either	1	32	2	-99	490
121	Independent	unobserved_first	8	6	8	I know the Western Castle's alarm went through, so it must have caused an alarm at the King's Palace. However, the Eastern Castle also sent out a dove. No observations were recorded. Thus, the Eastern Castle may have caused the alarm as well. If so, it depends on which signal reached the Castle first. However, it is slightly more likely that the Western Castle caused the alarm because it's tower observations were recorded as having sent the signal through.	Both castles sent out carrier doves with messages, but neither tower recorded what happened. I know the Palace received the message, but it was equally likely that either the Western Castle or Eastern Castle caused the alarm.	1	21	2	-99	698
122	Independent	unobserved_first	11	1	1	Western castle's intermediate station shows that a telegram was received and passed on to King's Palace	The western castle's intermediate station shows no information was received to pass on to King's palace	1	20	1	-99	904
123	Independent	unobserved_first	11	6	6	because the bird at the western castle took of and the intermediate tower received and sent the telegram	because i have no information at the intermediate tower and both birds took of that day.	1	20	1	-99	1170
124	Independent	unobserved_first	11	6	6	The alarm was caused by the west castle, no information from the east so its fair to say it was	theres no information from either tower so It could have been either	1	31	1	-99	937
148	Independent	unobserved_first	11	6	6	carrier pigeon was sent from the west castle, the western telegraph station sent the signal to the kings palace	no information is available at the telegraph stations, impossible to tell which castle triggered the alarm	1	49	1	-99	612
149	Independent	unobserved_first	9	6	6	west sent a telegram si it was probably them.  not 100% because east still sent a pigeon but their tower doesnt show information	equal chance of both castles	1	18	2	no	714
174	Independent	unobserved_first	11	6	6	Pigeon was sent and signal was transmitted	Since neither tower sent out a signal but the alarm went off. Either of the castles could have set it off.	1	26	2	-99	363
175	Independent	unobserved_first	8	6	6	It could have been either, but we know for sure that western telegraph sent out a message to the palace, we do not know if eastern telegraph did or not, but we do know a pigeon was dispatched to it.	Both castles sent out a pigeon, the alarm was raised at the palace, but no further information so all is equal	1	44	2	One of the images in the the test took a very long time to load. It was the image of the telegraph having sent a signal	509
180	Independent	unobserved_first	6	6	6	Could be either, since one intermediary is not reporting.	Could be either, as there is no information available at the intermediary.	1	36	1	n/a	839
183	Independent	unobserved_first	9	6	6	signal definitely sent by western telegraph but is is unknown as to what happened on the eastern telegraph which may also have sent a telegraph so greater probability of signal being received by western telegraph	Pigeons were sent by both castles but it is unsure what happened next at both stations therefore 50% probability	1	56	1	none	1028
184	Independent	unobserved_first	8	6	6	"Both castles sent out a pigeon, and an alarm was triggered. There is no information from the eastern intermediate tower, so it could've been the one to trigger the alarm; however, we know a telegram was sent from the western intermediate tower, and so it is more likely that it came from the western castle."	Both castles had an emergency and sent out a carrier pigeon, and an alarm was raised. However, there is no information from either intermediate stations, and so it is 50:50 as to which castle caused the alarm.	1	23	1	-99	525
185	Independent	unobserved_first	6	6	6	Both castles sent out pigeons that day and the western station did send out a telegram to the King's Palace, but it's possible that the Eastern telegraph station also sent out a telegram that day, except we don't have any information about that. So we can't tell for sure.	Both castles sent out a carrier pigeon that day, but we don't know what happened at the telegraph stations so it's impossible to tell which signal triggered the alarm at the King's Palace.	1	60	2	No issues.	863
190	Independent	unobserved_first	8	6	6	It is a fact that the western tower sent out a telegram, whereas the information is not available for the eastern	There is no information at either intermediate tower and therefore it is very debatable as to which telegram reached the palace.	1	22	1	-99	580
200	Independent	unobserved_first	9	6	6	No information at the east middle, but the west appears to have sent a telegraph	No information at the middle to tell	1	31	1	-99	2526
201	Independent	unobserved_first	10	6	6	Because the western castle pigeon was able to reach the station and the station sent out a telegram	Both east and west routes showed no information, therefore it could have been either castle.	1	20	2	-99	1233
202	Independent	unobserved_first	9	6	6	Both castles again sent out pigeons, but due to one intermediary (the west) tower displayin that it sent out a message, I have reason to believe that is castle that sent it, however the eastern castle ALSO sent out a pigeon, so there is a slight chance it was them that cause the alarm, but the intermediary tower has no data, so it is easier to assume it was simply the west as their intermediary sent out a message clearly	The alarm is going off, but both intermediary towers have no data on record, so it could have been either castle due to them both sending out a pigeon	1	20	3	Had no technical issues, It just took me a few minutes to fully comprehend the scenario, but I understood it before undertaking the questions.	522
207	Independent	unobserved_first	7	6	6	I'm sure that the emergency message was sent to the castle by the western castle. But I am not sure whether it could have also been the Eastern. Because I have no info on the E telegraoh, I think it is slightly more likely to be the west because the E telegraph may have malfunctioned	It could be either castle because I can see they both sent a pigeon but I have no info for what happened at the telgraph stations	1	25	2	-99	595
