sID	Target	Observation	Value	Attention_Confirmation	Age	Sex (2 = female)	Technical_issues	Duration (sek)
12	west	justification_26	Nothing triggered to the east. Telegram sent from Western.	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
13	east	1_1t_0_1	11	1	34	2	-99	1658
13	east	1_justification_29_1	eastern castle sent out a telegram	1	34	2	-99	1658
13	east	1_u_0_1	11	1	34	2	-99	1658
13	east	1_justification_31_1	western castle did not receive a message, eastern castle has no information	1	34	2	-99	1658
13	east	1_1t_1t_1	6	1	34	2	-99	1658
13	east	1_justification_36_1	both  castles sent out telegrams so the alarm could be caused by both	1	34	2	-99	1658
13	east	1_u_1t_1	1	1	34	2	-99	1658
13	east	1_justification_40_1	western caslte sent out a telegram	1	34	2	-99	1658
13	east	1_0_u_1	11	1	34	2	-99	1658
13	east	1_justification_41_1	the western castle did not receive any message so they are not aware there was an emergency	1	34	2	-99	1658
13	east	1_0_1t_1	1	1	34	2	-99	1658
13	east	1_justification_42_1	eastern castle did not receive a message that day.	1	34	2	-99	1658
13	east	u_1t_0_u	11	1	34	2	-99	1658
13	east	justification_44	eastern castle sent out a telegram , western castle has no information	1	34	2	-99	1658
13	east	u_0_1t_u	1	1	34	2	-99	1658
13	east	justification_49	eastern castle did not receive a a message	1	34	2	-99	1658
13	east	u_u_1t_u	1	1	34	2	-99	1658
13	east	justification_51	western castle sent out a telegram. the direction of communication can only go in one direction and the western castle can only send the message .	1	34	2	-99	1658
13	east	u_0_u_u	1	1	34	2	-99	1658
13	east	justification_56	eastern caslte did not receivd a message. Western castle has no information so its possible that they sent the a telegram or a pony rider.	1	34	2	-99	1658
14	west	1_u_0_1	11	1	21	2	-99	1478
14	west	1_justification_3_1	The pigeon didn’t make it to the station on the eastern side but the western side sent a pigeon but you cannot see any information at the station, but it must’ve been from the western side that the alarm was triggered	1	21	2	-99	1478
14	west	1_1t_u_1	11	1	21	2	-99	1478
14	west	1_justification_4_1	The western castles emergency pigeon and telegraph was recurved, but for the eastern castle there is no information to say whether the pigeon arrived at the intermediate station	1	21	2	-99	1478
14	west	1_1p_1p_1	6	1	21	2	-99	1478
14	west	1_justification_9_1	The alarm was triggers by both castles as they both sent pigeons and pony’s to the palace	1	21	2	-99	1478
14	west	1_1p_1t_1	6	1	21	2	-99	1478
14	west	1_justification_11_1	Both castles pigeons made it to the stations which the western side sent a rider to the palace and the eastern side sent a telegraph	1	21	2	-99	1478
14	west	1_u_1t_1	6	1	21	2	-99	1478
14	west	1_justification_12_1	An alarm was definitely caused by the eastern side, but not certain for the western side as it shows they did send out a pigeon, however there is no information to indicate whether it was recurved or not	1	21	2	-99	1478
14	west	1_0_1t_1	1	1	21	2	-99	1478
14	west	1_justification_14_1	They sent a pigeon but it was never recurved at the station but on the eastern side you can see that they sent a telegraph to the palace	1	21	2	-99	1478
14	west	u_1t_0_u	11	1	21	2	-99	1478
14	west	justification_16	The eastern side’s pigeon wasn’t received but the western castle sent a telegraph	1	21	2	-99	1478
14	west	u_1p_1t_u	6	1	21	2	-99	1478
14	west	justification_19	The alarms were triggered by both castles as you can see the western sent a pony to the palace and the eastern sent a telegraph	1	21	2	-99	1478
14	west	u_0_1t_u	1	1	21	2	-99	1478
14	west	justification_21	No pigeon was received from the western side, but a telegraph was sent out on the eastern side therefore it must’ve been from them	1	21	2	-99	1478
14	west	u_0_u_u	1	1	21	2	-99	1478
14	west	justification_28	The western intermediate station didn’t receive a pigeon and therefore no signal was sent from that side, so by process of elimination it must’ve been from the eastern side	1	21	2	-99	1478
17	west	1_1t_0_1	11	1	52	1	-99	1250
17	west	1_justification_1_1	eastern intermediate station sent nothing to palace	1	52	1	-99	1250
17	west	1_1p_u_1	6	1	52	1	-99	1250
17	west	1_justification_6_1	not known what was sent from eastern castle intermediate station to palace so could be either	1	52	1	-99	1250
17	west	1_u_1t_1	6	1	52	1	-99	1250
17	west	1_justification_12_1	its not known what was received at western intermediate station	1	52	1	-99	1250
17	west	1_0_1t_1	1	1	52	1	-99	1250
17	west	1_justification_14_1	no message received at western intermediate station	1	52	1	-99	1250
17	west	u_1p_0_u	11	1	52	1	-99	1250
17	west	justification_17	nothing was sent from eatern castle intermediate station to palace	1	52	1	-99	1250
17	west	u_1t_1p_u	6	1	52	1	-99	1250
17	west	justification_18	could have come from either castle based on that information	1	52	1	-99	1250
17	west	u_0_1t_u	1	1	52	1	-99	1250
17	west	justification_21	becasue nothing was sent from the intermediate station to the palace	1	52	1	-99	1250
17	west	u_u_1p_u	6	1	52	1	-99	1250
17	west	justification_24	it coule be either based on the information given	1	52	1	-99	1250
17	west	u_1p_u_u	6	1	52	1	-99	1250
17	west	justification_27	you do not know what the eastern castle sent to intermediate station or then onto the palace	1	52	1	-99	1250
17	west	u_0_u_u	1	1	52	1	-99	1250
17	west	justification_28	no message recieved at western castle intermediate station	1	52	1	-99	1250
18	west	1_u_0_1	1	1	18	2	-99	1229
18	west	1_justification_3_1	Pigeon was not received.	1	18	2	-99	1229
18	west	1_1t_u_1	2	1	18	2	-99	1229
18	west	1_justification_4_1	The pigeon may not have reached the Western intermediate station as it is unknown.	1	18	2	-99	1229
18	west	1_u_u_1	6	1	18	2	-99	1229
18	west	1_justification_7_1	Both castles sent pigeons and it is unknown if this was received at both.	1	18	2	-99	1229
18	west	1_1p_1p_1	6	1	18	2	-99	1229
18	west	1_justification_9_1	Both castles sent pigeons, both intermediate stations received this and both sent pony riders.	1	18	2	-99	1229
18	west	1_u_1p_1	9	1	18	2	-99	1229
18	west	1_justification_10_1	Uknown activity at east palace but know that a pony rider was sent from western immediate station.	1	18	2	-99	1229
18	west	1_0_u_1	10	1	18	2	-99	1229
18	west	1_justification_13_1	No message was received at the Eastern intermediate station but must have been received at the Western station.	1	18	2	-99	1229
18	west	u_1t_0_u	1	1	18	2	-99	1229
18	west	justification_16	No message was received at the Western castle's intermediate station, however a message was received at the Eastern intermediate station.	1	18	2	-99	1229
18	west	u_1p_1t_u	6	1	18	2	-99	1229
18	west	justification_19	East intermediate sent telegram and west sent pony rider.	1	18	2	-99	1229
18	west	u_u_u_u	6	1	18	2	-99	1229
18	west	justification_22	Unknown activity at all castles and stations.	1	18	2	-99	1229
18	west	u_1t_u_u	3	1	18	2	-99	1229
18	west	justification_26	East intermediate definitely sent a telegram.	1	18	2	-99	1229
19	east	1_u_0_1	10	1	35	1	No issue	1954
19	east	1_justification_31_1	because there is no information at the eastern castle intermediate station but, alarm has triggered	1	35	1	No issue	1954
19	east	1_1t_u_1	11	1	35	1	No issue	1954
19	east	1_justification_32_1	Signal sent through the Eastern castle Intermediate Station and there was no information at the western castle	1	35	1	No issue	1954
19	east	1_1t_1t_1	9	1	35	1	No issue	1954
19	east	1_justification_36_1	Eastern castle and Western Castle both sent the pegion and Intermediate sent the signal so, alarm could be triggerd by both of the castle	1	35	1	No issue	1954
19	east	1_1p_1p_1	6	1	35	1	No issue	1954
19	east	1_justification_37_1	Alarm has triggerd at the palace but, it could be triggerd for either of the castle. They both sent pony drivers, in that can any one or both could have reached to the palace.	1	35	1	No issue	1954
19	east	1_1p_1t_1	4	1	35	1	No issue	1954
19	east	1_justification_39_1	Western Intermediate stattion sent the telegrm signal which is faster as compared to pony driver	1	35	1	No issue	1954
19	east	1_u_1t_1	1	1	35	1	No issue	1954
19	east	1_justification_40_1	There is no information at the eastern Intermediate station	1	35	1	No issue	1954
19	east	1_0_1p_1	1	1	35	1	No issue	1954
19	east	justification_43	There is no message received signal at eastern castle Intermediate station	1	35	1	No issue	1954
19	east	u_1p_0_u	11	1	35	1	No issue	1954
19	east	justification_45	Because western station signal is crossed that means no message received	1	35	1	No issue	1954
19	east	u_1t_1p_u	10	1	35	1	No issue	1954
19	east	justification_46	Eastern castle sent the telegram signal	1	35	1	No issue	1954
19	east	u_1p_1t_u	1	1	35	1	No issue	1954
19	east	justification_47	There is no such information at the eastern castle	1	35	1	No issue	1954
20	east	1_1t_0_1	11	1	30	1	-99	1331
20	east	1_justification_29_1	The west castle's pidgen  never arrived, but the  east relay sent a  telegraph.	1	30	1	-99	1331
20	east	1_u_0_1	11	1	30	1	-99	1331
20	east	1_justification_31_1	The west  relay did not get the message,  thus  the east  relay (and by extension the east castle) must've caused the alarm	1	30	1	-99	1331
20	east	1_1p_u_1	6	1	30	1	-99	1331
20	east	1_justification_34_1	The east  sent the pony riders. Assuming that pidgen fail,  telegraph fail, and telegraph succeed are equally likely from the west, the odds are 50 50.	1	30	1	-99	1331
20	east	1_u_1p_1	4	1	30	1	-99	1331
20	east	1_justification_38_1	We don't know if the east relay got the message from the east, but the west sent the pony riders.   It is more likely the west caused the alarm.	1	30	1	-99	1331
20	east	1_u_1t_1	3	1	30	1	-99	1331
20	east	1_justification_40_1	We know the west message made it through,  we don't know about the east.	1	30	1	-99	1331
20	east	u_1p_0_u	11	1	30	1	-99	1331
20	east	justification_45	The  pony  riders  were  sent because of a  message from  the east castle. Nothing was recieved from the west castle.	1	30	1	-99	1331
20	east	u_0_1t_u	1	1	30	1	-99	1331
20	east	justification_49	The intermediary station got nothing from  the east.  But the  west sent  a telegram thus that must be the cause.	1	30	1	-99	1331
20	east	u_u_1t_u	2	1	30	1	-99	1331
20	east	justification_51	We  know  nothing of the east, but the west telegraph   was sent thus it  is likely that caused the alarm.	1	30	1	-99	1331
20	east	u_u_1p_u	4	1	30	1	-99	1331
20	east	justification_52	The west sent the pony  riders. We know nothing of the east.	1	30	1	-99	1331
20	east	u_1p_u_u	10	1	30	1	-99	1331
20	east	justification_55	The pony riders were sent,  implying  the east relay got a message from  the east castle. The west MAY have sent something, but  we  have no  information.	1	30	1	-99	1331
21	west	1_1t_1p_1	11	1	25	2	-99	1108
21	west	1_justification_5_1	Both intermediates sent out messages but the Western was by telegraph which is quicker and more reliable than by the pony sent by the Eastern.	1	25	2	-99	1108
21	west	1_u_u_1	6	1	25	2	-99	1108
21	west	1_justification_7_1	There's no way of knowing which caused the alarm as it's unknown what happened at both intermediate stations.	1	25	2	-99	1108
21	west	1_u_1t_1	5	1	25	2	-99	1108
21	west	1_justification_12_1	Both castles sent pigeons but we only know for sure that the Eastern Castle sent a telegraph. Both have the potential to cause the alarm, but if the Western Castle's intermediate had to send a pony it would have been slower than the telegraph of the Eastern Castle.	1	25	2	-99	1108
21	west	1_0_u_1	1	1	25	2	-99	1108
21	west	1_justification_13_1	The Western intermediate did not receive the pigeon, so even though it is unknown what happened at the Eastern intermediate, the alarm at the Palace still rang so it has to have been caused by the Eastern.	1	25	2	-99	1108
21	west	1_0_1p_1	1	1	25	2	-99	1108
