sID	High_Strength_Component	Target	Observation_Order	1_1_u_1	1_u_u_1	diag_prob_rating	justification_1_1_u_1	justification_1_u_u_1	Attention_Confirmation	Age	Sex (1 = male, 2 = female, 3 = other, 4 = prefer not to say)	Technical_issues	Duration (sek)
142	Root	East	observed_first	6	6	4	Both castles have called out for pony riders.	Both castles could have caused the alarm to occur, it is difficult to tell because of the clouds.	1	41	2	-99	701
162	Root	East	observed_first	8	6	5	we know a pony reached the intermiedate station from the eastern castle for sure, which makes it more likely.  But a pony could have reached the western from the western one too i just dont have that information.	It could be eitiher.  The same thing has happened from both fotresses. a cloud is blocking the way.	1	27	1	-99	733
171	Root	East	observed_first	9	6	3	A cloud is covering the west Intermediate station so there is not information that the new rider left the station. Whereas there is a picture that a rider left the east intermediate station.	There are now both clouds over the east and west intermediate station. So it is difficult to tell if riders left either station.	1	38	2	-99	2652
183	Root	East	observed_first	7	6	9	we know that the intermediate stable received the Eastern Castle's signal, but do not know whether or not the Western Castle's signal was received by their intermediate stable. For this reason I would lean towards the signal being from the Eastern Castle as there is confirmation of the first part of the journey being complete. Whilst this is true, it is still very possible that the signal from the Western Castle made it to the Western intermediate stable and we simply can't see, hence the hesitance to be certain.	We do not know if either of them reached the intermediate stable, so it is a straight 50:50	1	21	1	I accidentally pressed the back arrow on my browser and the comment boxes were emptied despite me filling them out when I first pressed 'continue' to reach the next page, so I simply pressed the forward button to go forward again and I hope that my responses were still recorded. If not, I would be happy to re-submit the survey with those answers completed.	1145
192	Root	East	observed_first	9	6	6	No is no indication if the western castle pony rider reached the intermediate station as there is a cloud.	"Both routes have the same diagram; there is no way to tell which castle triggered off the alarm,"	1	41	1	-99	879
38	Root	East	unobserved_first	8	6	11	there is a greater chance the alarm was caused by the eastern castle as we know the half way point sent out a fresh pony - we don't know the western castle did	both castles sent riders - both half way stations are not visible and both have dangerous zones so the chances are equal	1	34	1	no	1090
45	Root	East	unobserved_first	6	6	11	could have been either as both sent out and while west is obscured the robber barons come after the stations.	Both equally likely to have caused alarm as ponies sent from both castles but both journies obscured.	1	57	2	-99	1076
50	Root	East	unobserved_first	6	6	10	Both castles sent out an emergency signal, and the Eastern castle intermediate forwarded the signal. But I can't see the other intermediate to see that they sent on the signal, and either side could have been caught in the danger zone	Both castles sent out a rider, but the intermediate stations are in cloud so I can't tell whether either of those made or to the Kings Palace	1	37	2	-99	474
60	Root	East	unobserved_first	11	6	1	There are no clouds to show any issues were caused on the journey to stop the message from getting through	There are 2 x clouds on both routes which means I cannot see what happened with either pony rider	1	39	2	-99	660
69	Root	East	unobserved_first	6	6	11	Since the western pony house is obstructed, I cannot give with certainty that the eastern castle triggered the alarm.	Both middle intermediate pony houses of both castles are obstructed, so it is unclear as to who did it.	1	27	2	-99	540
89	Root	East	unobserved_first	10	6	6	a rider has been sent	because riders were triggered from both castles	1	48	1	-99	595
90	Root	East	unobserved_first	9	6	10	As the pony reached the station in between	There is no way of determining who set of the alarm- therefore it is 50-50	1	20	2	No	418
97	Root	East	unobserved_first	7	6	5	the cloud stops us knowingh if the wester castle had a alarm	there is no way of knowibng what is behind the clouds	1	35	2	-99	823
105	Root	East	unobserved_first	8	6	9	Could definitely be due to eastern castle as intermediate castle shows it sent out a fresh pony rider. However due to the western intermediate castle being obstructed by cloud could also be due to that castle but it is unknown. If probability was assigned to the likelihood of an intermediate sending out a fresh pony from the original castle then could make better judgement.	Both eastern and western castles sent out a pony rider signalling emergency. Neither intermediate castle is visible so it is not possible to tell which intermediate sent out a fresh pony rider to the north castle. Equally likely to be either castle causing the alarm bell.	1	22	1	No technical issues .However upon completing the third question I realised that I may not have read question two correctly.	834
119	Root	East	unobserved_first	9	6	6	There is a strong probability the eastern castle caused the alarm as it's confirmed both stations were used however it is unknown if the signal was received at the second station of thewestern castle as it is obstructed by cloud	Both intermediate sections are blocked by clouds so it is uncertain if either or both received the signal	1	36	1	-99	981
139	Root	East	unobserved_first	9	6	6	There was a cloud covering the western so not fully sure	Both have cloud cover blocking view	1	31	1	-99	1041
143	Root	East	unobserved_first	10	6	6	rider sent out from eastern change point	both sent out riders	1	57	1	-99	868
146	Root	East	unobserved_first	8	6	3	The East rider definitely got to the pony station.  The West rider had a cloud so may or may not have got to the pony station  Therefore East rider is more likely to have got to King's palace.	East and west routes show the same events so it should be 50/50 chance of East	1	48	2	-99	906
161	Root	East	unobserved_first	8	6	10	I know that an emergency call successfully came through from the station that's in between the Eastern Castle and the palace. That makes it more likely that the alarm was caused by the Eastern Castle. I still don't know the situation of the station that's in between the Western Castle and the palace, since it's still blocked by a cloud. The robbers that are in between both center stations and the palace don't really seem to help either, though at least I can confirm that a rider was successfully sent out from the east station towards the palace. This  makes the chances of the alarm caused by the Eastern Palace higher.	Since both intermediate stations are blocked by clouds, and that both castles sent out emergency pony riders, there is a chance that either castle caused the alarm within the Palace. Both castles have the same scenario in that a rider from a castle was sent to a station. However we don't know whether or not a rider was sent out from these stations because of the clouds. Since the palace's alarm was ringing though, we can confirm at least that one of the calls from either castle went through. We just don't know which one.	1	20	2	-99	1449
164	Root	East	unobserved_first	8	6	9	We know both castles dispatched riders, but only know for certain one way station passed the message on.	We know both castles sent riders off, but have no further information about their journeys, so both are equally likely to have made it.	1	33	2	-99	445
174	Root	East	unobserved_first	6	6	6	Both castles send out alarms, but due to the Western castle's mid point pony station having cloud coverage, it is impossible to be sure which castle caused the alarm. Therefore, both castles are equally likely to have caused the alarm.	Due to cloud coverage at the midway point, it is impossible to tell whether the Eastern castle caused the alarm. Therefore, both castles have an equal chance of having caused the alarm.	1	36	1	I noticed a small spelling error on the page regarding the robber baron attacks. It reads  ...castles are quite save [sic]... , rather than  safe .   Thank you for allowing me to participate in your study.	1605
188	Root	East	unobserved_first	6	6	6	I cannot tell if the message from the west side of the castle was delivered to another pony rider or not due to a cloud being in the way.	From the information given there is too much cloudiness on either side to determine who actually caused the alarm.	1	27	2	N/A	806
190	Root	East	unobserved_first	9	6	11	The eastern intermediate station was successfully reached but the western is obstructed by clouds.	Both castles sent out pony riders and both routes have clouds obstructing the intermediate stations.  Both routes have risky areas so no bias can be chosen for either route.	1	37	2	-99	1396
30	Root	West	observed_first	7	6	9	Both castles had an emergency, but I do not know if te Eastern one managed to reach the intermediate pony station due to the cloud.	both castles had an emergency, but clouds prevent me from knowing which ones got to the next pony stations	1	25	2	-99	529
31	Root	West	observed_first	9	6	10	the intermediate station despatched and the alarm was triggered we cant see if the east rider was despatched from the east intermediate station	cant see what intermediate rider was despatched the alarm was triggered though	1	32	1	-99	931
48	Root	West	observed_first	9	6	10	It is unkown whether the pony rider reached the intermediary point on the east due to cloud obstruction so favour the west to have succesfuly made the trip	No knowledge of either rider reaching mid point stations, not enough info due to cloud obstruction giving equal odds	1	20	1	-99	538
59	Root	West	observed_first	9	6	6	can't see whether the intermediate station received the message from the eastern castle	can't see what happened at either intermediate station so could be either castle	1	19	2	-99	561
75	Root	West	observed_first	8	6	9	We cannot see what happened at the East intermediate pony station, so it's possible that the message was not received or the pony rider sent out was attacked. However, we know that the West intermediate pony station did receive a message, so it's more likely that the Western castle caused the alarm	We have equally little information about both castles so cannot be informed one way or another	1	19	2	-99	647
83	Root	West	observed_first	9	6	9	I can't for certain say the alarm was sent by the Western castle due to the cloud. However, the pony rider from the Western castle made it through 2/3 points, the initial pony rider was sent and the pony rider arrived at the mid-point station. However, the 1/3 is the bandit region. I cannot say for certain that the pony rider made it through the bandit region as the Eastern castle also sent out a rider. However, with the Eastern castle, I don't know if the rider made it to the check-point OR through the bandits granting a high level of uncertainty.	In this figure both castles sent out an alarm however, it is unknown which pony riders made it to the checkpoints due to the clouds. After the checkpoints, it is uncertain if they made it through the bandit region either. Since the level of information is the same for both castles and we know the alarm was rung, it's a 50/50 chance that either castle rider made it.	1	22	2	-99	695
85	Root	West	observed_first	6	6	6	I can't see if the intermediary between the eastern castle and the king's palace has received the message because there is a cloud hiding the image but it is possible that they also successfully sent riders to the castle	The same information is given about the 2 castles, so the likelihood is the same	1	24	2	-99	769
96	Root	West	observed_first	10	6	11	Because the icons indicate most strongly that it was sent by the west castle	I have no idea, too many clouds	1	33	2	nope	364
110	Root	West	observed_first	6	6	6	The western castle reached their immediate station. We do not know if the eastern castle reached its immediate station because the cloud is blocking the view.	Clouds are blocking both the western and eastern immediate points so it could be either	1	21	2	-99	607
114	Root	West	observed_first	6	6	6	Both castles sent out riders and faced the same perils to get to the palace.	Both castles sent out riders and I don't know if either made it to their intermediate outposts.	1	32	2	n/a	664
123	Root	West	observed_first	9	6	7	Because the emergency signal reached the Western intermediary pony station and theres a cloud blocking the eastern intermediary pony station	there are clouds blocking both intermediary pony stations	1	21	2	-99	798
132	Root	West	observed_first	9	6	5	There is a cloud blocking the eastern intermediate station but I can see that the western definitely got to the intermediate station and the alarm in the castle was rang	There is a cloud blocking the view on both the east and west intermediate station so it could be either that reached the castle	1	26	2	-99	718
140	Root	West	observed_first	11	6	6	cloud cover on the other castles route which means i am not sure if new pony's were ever sent	It could have been either castle as both have cloud cover over the regions that would indicate wether a new pony was sent or not	1	42	2	Nope	993
150	Root	West	observed_first	9	6	4	Because I know both castles sent riders out and I only know for sure that one pony station did, I feel like it is most likely it was the West, but there is still some doubt.	I only know both castles sent riders, but I am unable to see if either pony station did. So it's 50/50.	1	34	2	-99	678
152	Root	West	observed_first	9	6	6	I know for sure a horse was received at the intermediary station, and a fresh horse sent out. I do not know that for the East castle.	No superior information from either castle.	1	31	2	-99	648
168	Root	West	observed_first	8	6	4	Riders were deployed from both castles, western made it to the intermediate place at least, unsure about Eastern but they could too have made it	Both castles deployed riders but there's no way of knowing what castle made it as both intermediate stages are obstructed with clouds	1	27	2	-99	492
173	Root	West	observed_first	6	6	6	The cloud is obscuring the eastern castles path so I can't see if they got there	It could be either castle that caused the alarm, the clouds are obscuring their paths	1	37	2	None occured	871
186	Root	West	observed_first	10	6	4	there was a signal from both the castle and the station on the west, whereas the east station is covered by cloud	there are clouds over both stations, but also both castles sent out riders for an emergency	1	21	2	-99	344
26	Root	West	unobserved_first	8	7	6	The eastern castle's movements are obscured	The western castle is slightly closer. All other elements are the same.	1	32	2	-99	590
33	Root	West	unobserved_first	9	6	6	We know that the western castle pony made it to it's intermediate station, but we don't know if the eastern castle pony made it which up the odds that the alarm was from the western castle.	Since both intermediate stations were obstructed, it could have been a 50:50 chance	1	24	2	-99	613
40	Root	West	unobserved_first	6	6	11	Even though it can be seen that the western castle rider made it to the first check point, the east rider would have too as the risk to life occurs at a later point.	Because a rider was sent out from both castles but both journeys are obstructed by a cloud.	1	31	2	-99	620
52	Root	West	unobserved_first	9	6	6	While it is not certain that it came from the west castle, we know that one was sent out from the west castle and that it did reach the intermediary point at least.	Both castles sent out a pony, and we cannot see what happened at either intermediary point, so it is a 50:50	1	27	1	-99	848
71	Root	West	unobserved_first	7	6	6	Both castles sent out a rider, and the rider from the Western Castle made it to the station. However, the rider from the other castle might also have made it to the station. I can't tell because of the cloud, so I can't be totally certain that both made it.	Both castles sent a rider to the palace, but both stations are obscured by cloud, so I can't tell which rider got there.	1	34	1	-99	668
72	Root	West	unobserved_first	9	6	6	We can be certain the pony rider from the West castle made it to the intermediate castle but we cannot be sure if the Pony rider from the East castle made it to his due to the cloud obstructing the view	At least one of the riders would need to make it to the palace for the alarm to sound, however it is impossible to tell if it was the pony rider from the west or the east castles as both intermediate castles are obstructed by a cloud	1	35	2	N/A	1130
94	Root	West	unobserved_first	8	6	11	We are sure that the Western castle triggered a response from the intermediate station and not sure what happened at the other one.	Could be either - no information to choose between them.	1	54	2	-99	892
103	Root	West	unobserved_first	6	6	6	Because both castles had an emergency, it is hard to tell who caused the alarm, especially since one of  the stations is clouded from view.	Because both castles had an emergency, and clouds are covering both castle's respective intermediate station, it is hard to tell who caused the alarm. It is a fifty-fifty chance.	1	19	1	-99	619
124	Root	West	unobserved_first	6	6	6	Although western pony got through the eastern pony may also have got through because we can't see because of the cloud.	You can not see what happend at the pony stations but the alarm was rang so one of must of got to the castle. So it's 50/50	1	34	2	-99	1081
131	Root	West	unobserved_first	6	6	11	Both castles sent out riders, even though there is cloud at the eastern intermediate station, it bares no relevance only the attackers near the palace can affect the outcome. 50:50	Both east and west castles sent out riders that day, but because of cloud cover at the intermediate stations blocking the view, it could have been either that made it to the palace to raise the alarm, 50:50	1	28	2	-99	1695
149	Root	West	unobserved_first	7	6	6	we know for certain the western castle reached the north, however we do not know if the eastern did. This causes a shift towards the northern caslte but not a sure one	both stations are covered so it is equally possible either caused the bell to ring	1	22	1	-99	764
154	Root	West	unobserved_first	9	6	6	We have clear info about the western castle and can assume that it was done by them as the cloud doesn't give a view on the Eastern	The same information is available for them both, no definite way to say who did it	1	26	1	x	1026
175	Root	West	unobserved_first	11	6	3	I believe the alarm raised was caused by the west - this is because the east is being covered with a cloud and also the west has sent a pony to its intermediate stop on the western side	I cannot make a decision and therefore have based my answer on 50:50. This is because of the clouds on both the east and west sides.	1	24	1	No technical errors or issues - only some minor spelling issues but other than that, all good!	664
176	Root	West	unobserved_first	8	6	9	Based on the info I think it's slightly more likely the West castle got through as there was only 1 stage it might have failed to get through (due to bandits) where as riders from East castle may not have got to intermediate station and even if they did may not have gotten to palace.	I know both castles send out riders for an emergency but I don't know if either or both were received at intermediate stations due to clouds over those locations, so the chances seem equal that either castle could be responsible for the bell at the palace.	1	34	3	-99	806
177	Root	West	unobserved_first	7	6	6	Pony from Western castle reached intermediate station. Eastern intermediate station is obscured by cloud.	Both intermediate pony stations are obscured.	1	52	2	-99	726
178	Root	West	unobserved_first	9	6	6	There's a cloud over the map  so I don't think its the castle at the bottom,  making it more likely to be the western castle.	It could be either of the castles based on the info supplied.	1	42	2	-99	683
179	Root	West	unobserved_first	9	6	11	More likely as no cloud obstructing it but not impossible for the east to cause it	Same chance, both clouds	1	19	1	-99	277
180	Root	West	unobserved_first	8	6	6	Western castle rider reached the next station, but we are unsure if the other rider did	Both castles sent riders, but both have clouds covering the view so it is impossible to know which castle succeeded	1	34	2	-99	802
27	Terminal	East	observed_first	9	6	8	West may not have sent a message from the pony station	Equal chance either could have triggered the alarm	1	68	1	-99	780
34	Terminal	East	observed_first	9	6	4	The emergency message from Eastern Castle, made it to Kings Palace, it's not possible to see if message from Western Castle made it, so feel more confident that the alarm was caused by Eastern Castle.	Both castles sent alarms but unable to see which one made it, we know at least one did as alarm was raised.	1	43	1	Test was very enjoyable! one typo 'Pony riders sent out by the intermediate stations are quite save on their way to the King’s Palace though.'	1050
42	Terminal	East	observed_first	1	6	10	because i can see it was caused by the western	not sure.	1	36	2	no	1841
47	Terminal	East	observed_first	11	6	11	we dont know that the rider made it from the western castle	we dont know which rider made it	1	19	2	-99	533
55	Terminal	East	observed_first	11	6	7	It looks like the pony riders on the east side were able to contact the King's Palace.	Clouds are covering both the intermediate stables so it's a 50/50 chance.	1	22	1	-99	519
68	Terminal	East	observed_first	9	6	6	We can't know for sure if a rider from the Western Castle made it through the dangerous section of the path, but it is possible. However, we can be certain that a rider from the Eastern Castle made it past the bandits.	The same set of events happened for both riders so it could be either rider who rang the bell.	1	38	2	-99	688
81	Terminal	East	observed_first	8	6	8	It's more likely to be caused by the eastern castle because it definitely made it past the dangerous area and the other maybe didn't.	Both castles sent a signal and it's unclear which got to the intermediate station or not.	1	28	1	-99	762
91	Terminal	East	observed_first	9	6	6	East - intermediate rider sent	Impossible to say which caused alarm	1	54	1	-99	1462
109	Terminal	East	observed_first	6	6	6	I know that a message got there so its definitely at least 50% likely but don't know if the other castle's message got there	Don't know who's message got there so it's 50-50	1	41	1	-99	691
115	Terminal	East	observed_first	10	6	2	The western castles side is blocked by the cloud so I assume they got attacked by the bandits, on the other hand, the eastern castle side had no difficulties as you could see the house on the east have the rider sent symbol above it, meaning they sent a rider to the castle	As both sides have the same scenario, clouds so things aren't visible, I cannot determine what happened	1	19	1	-99	719
127	Terminal	East	observed_first	7	6	6	Both castles sent out a pony rider, and the bell was rung. However, a cloud is obscuring one route, so I cannot be 100% sure it was the eastern castle, but it is very likely.	Both castles sent out a pony rider and the bell was rung. Both passages are obscured by clouds, so there is an equal chance either of them activated the bell.	1	19	2	N/A	544
134	Terminal	East	observed_first	11	6	6	A pony successfully left the intermediate post and triggered the alarm at the palace	Both intermediate posts are covered so no way to tell. Both successfully sent ponies out	1	36	2	No	771
147	Terminal	East	observed_first	6	6	6	They both sent out riders from the castle	They both sent out riders from the castle	1	52	2	-99	837
153	Terminal	East	observed_first	6	6	6	I cant see if a rider made it to the western stop	I can not determine if a rider made it to either stop	1	36	1	everything went smooth, I feel like i over studied some of this	-1
170	Terminal	East	observed_first	10	6	5	A cloud obstructed the Western view so we only know the Easten side made it	Clouds are obstructing both views so it's not known who made it to the pony station	1	23	2	-99	829
184	Terminal	East	observed_first	6	6	6	Cloud blocking western side,so cant be sure that the western msg did not make it through,but do know that the eastern did.	Cloud cover makes knowing about the 2nd stage impossible,but SOMEONE did make it.	1	44	1	-99	553
198	Terminal	East	observed_first	6	6	6	Because I can't see the western castle	Because I can't see both of the intermediate castles	1	30	2	-99	1948
203	Terminal	East	observed_first	11	6	6	station recieved message	too many clouds	1	32	1	-99	972
23	Terminal	East	unobserved_first	11	6	6	Eastern Castle shows that a pony rider was sent out to the palace through an area without robbers.	Both scenarios have the same details so it is difficult to tell who set the alarm off.	1	48	2	-99	1058
36	Terminal	East	unobserved_first	9	6	9	With the West Castle an unknown the East has better odds than chance of being the one who rang the alarm.	With the cloud blocking both intermediate stations there is no way of knowing which station made it through.	1	25	1	A few minor spelling errors unless I'm mistaken. But no issues otherwise.	1099
41	Terminal	East	unobserved_first	9	6	6	western intermediary station is obscured but I can see the eastern rider made it past the robbers so it's likely but not certain that rider set the alarm in the palace	clouds obscure the intermediary stations for both castles so it's impossible to say who made it to the palace	1	50	2	-99	781
53	Terminal	East	unobserved_first	11	6	6	I can see that the pony from the eastern castle made it to the intermediate post therefore I am certain that it was the one that made it.	As both castles sent out ponies, and both intermediate posts are obstructed, I cannot be sure which one of the two castles made it to the Kings Palace.  Therefore I rate it as a 50/50.	1	38	1	-99	942
56	Terminal	East	unobserved_first	8	6	6	Slightly higher probability that the Eastern castle started the alarm as second pony rider definitely sent, but there is also a chance the Western castle second pony rider was sent	Alarm went off, both castles sent pony riders but both pony stations covered with cloud so either could have started the alarm	1	48	1	-99	2844
64	Terminal	East	unobserved_first	9	6	6	Fair enough we can see that the Easter rider reached the station but for all we know the western rider could have also reached its station and deployed another pony. But it's more likely to be the eastern castle	Clouds cover both intermediate  stations so there is no way of telling which Castle's message made it	1	18	1	-99	1153
77	Terminal	East	unobserved_first	11	6	6	chain pony rider is visible	Outputs from both castles yet both have clouds covering result	1	19	1	-99	686
79	Terminal	East	unobserved_first	9	6	6	The Palace received an alarm. the mid point from the eastern castle was reached, however we cant be sure if the Western castle's alert also reached the palace as the cloud obscured the mid point and once ringing the alarm will ring all day	Clouds cover both intermediate stations so cant be sure which sent signal	1	51	1	-99	1203
88	Terminal	East	unobserved_first	7	6	5	Cannot see what happened at western, know for sure a rider was sent from eastern so think slightly more it may have been eastern	Both sent out riders. Alarm activated at King's Palace, cannot see events at intermediate pony statins, could be either that sounded alarm.	1	24	2	-99	497
102	Terminal	East	unobserved_first	11	2	3	The path from the Western castle  may not have made it to its intermediate station	I think the path to the palace from the Eastern castle wouldn't have arrived to the palace.	1	23	2	-99	616
108	Terminal	East	unobserved_first	10	6	4	The eastern castle rider certainly made it to the station, and on to the palace to trigger the alarm. It is unknown if the western rider made it to the intermediate station because of clouds, but the western castle also could have triggered the alarm	Both castles sent pony riders, and an alarm was triggered in the palace. However, it cannot be known which rider made it to the intermediate station because of clouds	1	28	1	-99	1061
111	Terminal	East	unobserved_first	8	6	6	The alarm could have rung in response to a message from either castle but cloud obscures some of the evidence. It is clear that the eastern rider got past the evil barons so it is a safer guess that he triggered the alarm.	The cloud cover obscures the sequence of events on the ground.	1	82	1	-99	1159
126	Terminal	East	unobserved_first	11	6	11	Theres a higher probability of the Eastern Castle causing the alarm as we know for a fact the rider made it, the other way station is clouded over.	The two way stations are clouded over, there is no way to tell if one or both of them made it so its 50/50 either way.	1	30	2	-99	645
130	Terminal	East	unobserved_first	6	6	6	Both castles sent a pony rider that day. The palace received at least one message, because the alarm is ringing. I can see that the East Castle's intermediate pony station received the message and forward a rider, so I know that their message is very likely to have reached the palace. However, the cloud is obscuring the West Castle's intermediate pony station, so I can't see whether the West Castle's intermediate pony station forwarded a message. They may have, so I can't be certain that the East Castle's message is what triggered the alarm.I can't remember reading a probability associated with robber baron attacks, to allow me to make a prediction about the likelihood of the West Castle's pony being intercepted.	Both castles sent a pony rider that day. The palace received at least one message, because the alarm is ringing. The clouds obscure the intermediate pony stations, so I can't see whether only one or both castles' intermediate pony stations forwarded a message.	1	33	1	-99	1603
158	Terminal	East	unobserved_first	9	6	6	The eastern rider did get through but the same could be said for the western castle but we cannot see if the western rider got through	The same icons are on both sides.	1	33	2	None	1892
167	Terminal	East	unobserved_first	11	6	6	the rider made it to the intermediate station and therfore would easily make it to the palace	Both had emergencies so it could be either castles horse that reaches the palace	1	20	1	-99	490
169	Terminal	East	unobserved_first	11	6	6	The rider has made it to the Intermediate stop whereas we cannot see the Western Castles rider.	Due to cloud cover, it is unsure whether a pony rider made it to the Intermediate stop.	1	32	1	-99	1629
189	Terminal	East	unobserved_first	9	6	6	It is certain that a rider from the Eastern Castle made it to the checkpoint so it is likely that this set of the alarm. However it is not certain as the midway point for the Western castle is covered by cloud.	Because both castles sent out a rider and both routes are blocked by cloud.	1	29	1	-99	477
24	Terminal	West	observed_first	11	6	6	The pony made it to the intermediate station, which means it likely made it beyond to the King's Palace.	Both castles' horses are obstructed.	1	20	2	-99	594
37	Terminal	West	observed_first	10	7	6	The riders from the Western Castle made it to the intermediate point. From that point there is no danger to the new pony rider. However, there is a chance that the rider from the Eastern Castle made it to their intermediate point and the new rider was able to trigger the alarm in the Palace before the other rider.	Fom the picture it looks like the distance of  the Western Castle to teir intermediate point is shorter than that of the Eastern Castle to theirs. So having a shorter distance to travel could be safer.	1	37	2	None.	1057
39	Terminal	West	observed_first	7	6	5	It could also be the Eastern Castle (maybe the rider from the western intermediate station arrived after the one from the eastern station, for example?), but I decided to put a mild preference for the Western Castle because we know for a fact that the western rider successfully reached the intermediate station and that it is highly unlikely that they were attacked after this point. I don't know exactly how common evil baron attacks are, but I assumed something like 50/50, meaning that if the western rider hasn't been attacked, the eastern rider may well have been.	As far as I can tell it could just as easily be any of them - they're in identical situations.	1	26	2	-99	1158
49	Terminal	West	observed_first	6	6	6	cannot be completely certain as the cloud is covering up therefore cannot say if the rider made it or not	cannot say as the clouds have covered the route of both riders so it could be either or	1	22	2	-99	1299
65	Terminal	West	observed_first	6	6	6	Both castles sent out a pony and the alarm was raised, but a cloud is obstructing my view	Both castles sent out a pony and the alarm was raised, but 2 clouds are covering the stations	1	40	2	-99	876
76	Terminal	West	observed_first	6	6	6	Both castles sent out riders - the western castle's rider reached the station but whether the east castle's rider did is uncertain	I can't see if either rider made their stations due to cloud cover	1	37	2	N/A	753
86	Terminal	West	observed_first	11	6	6	because the horse was sent to the station and made it there safely so another fresh rider would have been sent to the palace and would have been safe	it is not clear to see which riders got to the palace as the view is obstructed	1	20	1	-99	777
93	Terminal	West	observed_first	8	6	6	Without other evidence assume even chance of eastern castle evading robbers. Therefore western castle about twice as likely to trigger alarm	Both situations are equal in regard to the given information	1	48	1	-99	668
104	Terminal	West	observed_first	4	6	6	They are definitely closer. Other is 50/50.	Same hazards in both paths	1	58	1	-99	832
116	Terminal	West	observed_first	11	6	6	pony made it to pony station	can't see who made it to pony station due to cloud	1	31	1	-99	973
120	Terminal	West	observed_first	9	6	6	It is certain that  a pony rider left the Western Castle on that day and arrived at the intermediary station, which then sent on a fresh pony and rider, which would most likely have arrived at the castle and set off the alarm as there is a very low likelihood of attack on that journey. A pony rider was also sent from the Eastern castle but cloud obscures whether it ever arrived at the intermediary station and therefore it is unknown, but not impossible that a pony and rider was sent on to the castle. If a pony rider was sent from the intermediary it is impossible to say whether it would have arrived before tor after he one from the Western Castle pony from the intermediary station. Therefore on balance it is most likely that the Western Castle set off the alarm	It is impossible to say what occured after the ponyt riders left both the Eastern and Western Castles as clouds obscure what happened. The alarm has gone off so at least one of the intermediary pony riders was sent and arrived but no information to tell us which	1	48	2	-99	763
136	Terminal	West	observed_first	11	6	1	Can see that a pony rider was sent to an intermediate pony station from the western castle.	It is unclear what happened because of cloud.	1	44	2	No.	2656
137	Terminal	West	observed_first	8	6	3	There is a higher probability because a rider was definitely sent from the intermediate station on the western side	Clouds are covering both sides equally	1	47	1	-99	798
